Dictionary,Ruleset,K
all_dict/kb_rus_adj_fem,../../rules/cap/Word_day_mon_year.rule,0.0
all_dict/kb_rus_adj_fem,../../rules/cap/Word_dd.rule,2.7612900118635748e-11
all_dict/kb_rus_adj_fem,../../rules/cap/Word_dd_2sc.rule,0.0
all_dict/kb_rus_adj_fem,../../rules/cap/Word_dd_age.rule,0.0
all_dict/kb_rus_adj_fem,../../rules/cap/Word_dd_age_sc.rule,0.0
all_dict/kb_rus_adj_fem,../../rules/cap/Word_dd_sc.rule,0.0
all_dict/kb_rus_adj_fem,../../rules/cap/Word_ddd.rule,8.496276959580229e-13
all_dict/kb_rus_adj_fem,../../rules/cap/Word_ddd_sc.rule,0.0
all_dict/kb_rus_adj_fem,../../rules/cap/Word_dddd.rule,2.97369693585308e-13
all_dict/kb_rus_adj_fem,../../rules/cap/Word_mon_dd.rule,3.2677988306077806e-13
all_dict/kb_rus_adj_fem,../../rules/cap/Word_mon_dd_sc.rule,0.0
all_dict/kb_rus_adj_fem,../../rules/cap/Word_pd.rule,6.247262470279581e-12
all_dict/kb_rus_adj_fem,../../rules/cap/Word_sc_dd.rule,0.0
all_dict/kb_rus_adj_fem,../../rules/cap/Word_sc_year.rule,0.0
all_dict/kb_rus_adj_fem,../../rules/cap/Word_year.rule,1.1437295907127232e-11
all_dict/kb_rus_adj_fem,../../rules/cap/Word_year_mon.rule,0.0
all_dict/kb_rus_adj_fem,../../rules/cap/Word_year_sc.rule,0.0
all_dict/kb_rus_adj_fem,../../rules/cap/year_sc_Word.rule,0.0
all_dict/kb_rus_adj_fem,../../rules/cap/year_Word.rule,0.0
all_dict/kb_rus_adj_fem,../../rules/cap/year_Word_sc.rule,0.0
all_dict/kb_rus_adj_it,../../rules/cap/1-0_sc_Word.rule,0.0
all_dict/kb_rus_adj_it,../../rules/cap/1-0_Word.rule,0.0
all_dict/kb_rus_adj_it,../../rules/cap/d_sc_Word.rule,0.0
all_dict/kb_rus_adj_it,../../rules/cap/d_Word.rule,0.0
all_dict/kb_rus_adj_it,../../rules/cap/day_cc_Word.rule,0.0
all_dict/kb_rus_adj_it,../../rules/cap/day_dd_Word.rule,0.0
all_dict/kb_rus_adj_it,../../rules/cap/day_mon_dd_Word.rule,0.0
all_dict/kb_rus_adj_it,../../rules/cap/day_Word.rule,0.0
all_dict/kb_rus_adj_it,../../rules/cap/day_Word_dd.rule,0.0
all_dict/kb_rus_adj_it,../../rules/cap/day_Word_sc.rule,0.0
all_dict/kb_rus_adj_it,../../rules/cap/day_Word_year.rule,0.0
all_dict/kb_rus_adj_it,../../rules/cap/dd_Word.rule,0.0
all_dict/kb_rus_adj_it,../../rules/cap/ddd_Word.rule,0.0
all_dict/kb_rus_adj_it,../../rules/cap/dddd_Word.rule,0.0
all_dict/kb_rus_adj_it,../../rules/cap/sc_dd_Word.rule,0.0
all_dict/kb_rus_adj_it,../../rules/cap/sc_dddd_Word.rule,0.0
all_dict/kb_rus_adj_it,../../rules/cap/sc_Word_d.rule,0.0
all_dict/kb_rus_adj_it,../../rules/cap/sc_Word_dd_mon_sc.rule,0.0
all_dict/kb_rus_adj_it,../../rules/cap/sc_Word_dd_sc.rule,0.0
all_dict/kb_rus_adj_it,../../rules/cap/sc_Word_mon_day_sc.rule,0.0
all_dict/kb_rus_adj_it,../../rules/cap/sc_Word_year.rule,0.0
all_dict/kb_rus_adj_it,../../rules/cap/sc_Word_year_sc.rule,0.0
all_dict/kb_rus_adj_it,../../rules/cap/sc_year_Word.rule,0.0
all_dict/kb_rus_adj_it,../../rules/cap/Word_2sc_dd.rule,0.0
all_dict/kb_rus_adj_it,../../rules/cap/Word_day_dd_mon.rule,0.0
