dictionary,rule,size,k1,
kb_rus_adj_mul,sc_word_dd_sc.rule,12221600,3.861185009826581,
kb_rus_adj_mul,sc_word_mon_day_sc.rule,50841856,3.861185009826581,
kb_rus_adj_mul,sc_word_year.rule,15888080,3.861185009826581,
kb_rus_adj_mul,sc_word_year_sc.rule,15888080,3.861185009826581,
kb_rus_adj_mul,sc_year_word.rule,19860100,3.861185009826581,
kb_rus_adj_mul,word_2sc_dd.rule,21418354,3.861185009826581,
kb_rus_adj_mul,word_day_dd_mon.rule,1271076954,3.861185009826581,
kb_rus_adj_mul,word_day_mon.rule,12771572,3.861185009826581,
kb_rus_adj_mul,word_day_mon_dd.rule,1115954296,3.861185009826581,
kb_rus_adj_mul,word_day_mon_sc.rule,76446108,3.861185009826581,
kb_rus_adj_mul,word_day_mon_year.rule,568304400,3.861185009826581,
kb_rus_adj_mul,word_dd.rule,3055400,3.861185009826581,
kb_rus_adj_mul,word_ddd.rule,30554000,3.861185009826581,
kb_rus_adj_mul,word_dddd.rule,305540000,3.861185009826581,
kb_rus_adj_mul,word_ddd_sc.rule,213908554,3.861185009826581,
kb_rus_adj_mul,word_dd_2sc.rule,21387800,3.861185009826581,
kb_rus_adj_mul,word_dd_age.rule,34220480,3.861185009826581,
kb_rus_adj_mul,word_dd_age_sc.rule,205139556,3.861185009826581,
kb_rus_adj_mul,word_dd_sc.rule,21418354,3.861185009826581,
kb_rus_adj_mul,word_mon_dd.rule,39750754,3.861185009826581,
kb_rus_adj_mul,word_mon_dd_sc.rule,238321200,3.861185009826581,
kb_rus_adj_mul,word_pd.rule,2108226,3.861185009826581,
kb_rus_adj_mul,word_sc_dd.rule,18332400,3.861185009826581,
kb_rus_adj_mul,word_sc_year.rule,14696474,3.861185009826581,
kb_rus_adj_mul,word_year.rule,3972020,3.861185009826581,
kb_rus_adj_mul,word_year_mon.rule,29362394,3.861185009826581,
kb_rus_adj_mul,word_year_sc.rule,130771120,3.861185009826581,
kb_rus_adj_mul,year_sc_word.rule,19860100,3.861185009826581,
kb_rus_adj_mul,year_word.rule,3972020,3.861185009826581,
